author,paper,fake
3617357,33402859,0
3977172,33402859,0
34230734,33402859,0
2210364535,33402859,0
13936999,33402859,0
145311364,33402859,0
2533508,33402859,0
2352508,31929237,0
50633566,31929237,0
2107215408,31929237,0
49893490,31001449,0
15773938,31001449,0
48411538,31001449,0
87330323,30640608,0
144896695,30333216,0
4380850,28679281,0
1435467712,28679281,0
2072083814,28679281,0
5405145,28679281,0
145476980,28679281,0
2873234,46393313,0
113034929,25632366,0
9808081,25632366,0
51119645,25632366,0
6680427,25632366,0
48632632,25632366,0
3808981,215726754,0
39573979,215726754,0
2656951,215726754,0
2377072,215726754,0
2110029321,215726754,0
1400787584,195064109,0
1413791108,195064109,0
1400787570,195064109,0
2096320,23917679,0
47875025,14119063,0
2093585666,14119063,0
48021297,14119063,0
52550528,159373645,0
2375611,4733413,0
1800323,45069334,0
2115535381,45069334,0
1800688,45069334,0
49998789,29570261,0
78287265,29570261,0
153864586,29570261,0
145550041,29570261,0
2053403512,29570261,0
2157232932,29570261,0
145070750,29570261,0
50581648,29570261,0
5914306,29570261,0
2126285263,214338841,0
40587772,3174114,0
144852963,33126243,0
4357052,33126243,0
120784697,33126243,0
5366295,201968370,0
84065534,201968370,0
66435209,201968370,0
4734459,201968370,0
5405811,201968370,0
10429783,201968370,0
13743780,201968370,0
2107741735,10650788,0
1847020,10650788,0
40511346,10650788,0
12063279,26354945,0
5203253,41273089,0
2064724772,232058337,0
2151166084,232058337,0
3831670,232058337,0
1421157409,39213875,0
81133579,26500411,0
16906921,39636218,0
8268147,6492721,0
80257295,29223630,0
2107426049,13292006,0
92103439,13292006,0
2157842115,13292006,0
153328742,13292006,0
2107575523,13292006,0
34634740,13292006,0
145095618,13292006,0
1412859552,13292006,0
49096955,13292006,0
39228419,37357946,0
2242143,21567508,0
8137676,21567508,0
3070353,21567508,0
39955130,21567508,0
2316238,21567508,0
4394764,21567508,0
145085192,21567508,0
11965248,19262418,0
1421591582,19262418,0
2084201421,19262418,0
4287758,219106163,0
1729456607,219106163,0
7388509,219106163,0
3704594,199538811,0
133642501,199538811,0
5532198,199538811,0
16969020,1881617,0
49140550,219429328,0
2072391706,219429328,0
152619498,219429328,0
49528238,219429328,0
93173858,219429328,0
2115852222,239662903,0
2065491997,239662903,0
38900673,239662903,0
50256953,239662903,0
40368067,239662903,0
113019868,36383341,0
119895606,36383341,0
89111905,36383341,0
2157698772,36383341,0
4132573,36383341,0
2825758,89700450,0
2088611120,89700450,0
38879687,89700450,0
5304723,89700450,0
34563154,89700450,0
3326675,89700450,0
2109775132,89700450,0
6751976,45538643,0
4507568,45538643,0
81019627,45538643,0
32320221,45538643,0
78447158,45538643,0
1402490796,52127432,0
7523008,52127432,0
4571299,52127432,0
144851656,52127432,0
2053100,52127432,0
6462689,52127432,0
12279149,52127432,0
2066541953,52127432,0
2904869,52127432,0
5756671,52127432,0
4019789,52127432,0
34810801,247462237,0
40685343,247462237,0
10739654,247462237,0
4854832,247462237,0
2770706,247462237,0
31648793,155335833,0
1401705580,155335833,0
5252394,155335833,0
31779972,155335833,0
5016194,155335833,0
1382539238,155335833,0
143827947,155335833,0
4663433,211048597,0
14225714,211048597,0
74579275,211048597,0
4298341,211048597,0
1879206773,211048597,0
8922637,211048597,0
87077310,211048597,0
2189698,222125022,0
1703347,222125022,0
1761528,222125022,0
144875680,222826426,0
15205949,222826426,0
145976580,222826426,0
2109057615,222826426,0
6677100,222826426,0
40297980,222826426,0
143651717,222826426,0
145055474,222826426,0
47193300,222826426,0
1720743958,220772065,0
1720873929,220772065,0
6854073,220772065,0
33281166,220772065,0
50471141,220772065,0
12573122,220772065,0
15019487,220772065,0
