authorId,url,name,affiliations,homepage,paperCount,citationCount,hIndex,fake,institutionid
145179386,https://www.semanticscholar.org/author/145179386,C. Hammond,[],,411,15051,64,0,7251
46290295,https://www.semanticscholar.org/author/46290295,A. Sahoo,[],,74,363,9,0,2033
2158393168,https://www.semanticscholar.org/author/2158393168,Priya Dharshini Augusthian,[],,2,3,1,0,5407
2189728865,https://www.semanticscholar.org/author/2189728865,Ishwarya Muralitharan,[],,1,3,1,0,6868
1397297334,https://www.semanticscholar.org/author/1397297334,R. P. Vivek-Ananth,[],,21,444,7,0,7830
2189741454,https://www.semanticscholar.org/author/2189741454,Kishan Kumar,[],,1,3,1,0,3088
2190033268,https://www.semanticscholar.org/author/2190033268,Gaurav Kumar,[],,1,3,1,0,2999
2189728828,https://www.semanticscholar.org/author/2189728828,Geetha Ranganathan,[],,1,3,1,0,3933
38020200,https://www.semanticscholar.org/author/38020200,Areejit Samal,[],,93,1367,19,0,1383
2141254688,https://www.semanticscholar.org/author/2141254688,Marcelina Bednarczyk,[],,4,4,1,0,4406
40464159,https://www.semanticscholar.org/author/40464159,R. Kasprzyk,[],,20,109,6,0,6100
2165465515,https://www.semanticscholar.org/author/2165465515,Jagoda Starek,[],,1,1,1,0,6140
2120381751,https://www.semanticscholar.org/author/2120381751,Tomasz Śpiewla,[],,4,7,1,0,506
9859249,https://www.semanticscholar.org/author/9859249,J. Mugridge,[],,37,552,13,0,4493
