author,paper
2108997640,27363741
4357220,21211324
31512574,27294992
3526474,39405744
4184103,43879678
145833910,15230445
152573231,208539234
10379563,226206381
2146238535,247978207
2097218906,245262544
1753886,203146651
49836121,118090602
48100190,88851991
5736220,10259438
11999216,31481304
74707950,159359677
17357405,248007137
2086127835,228090999
4938748,204974622
3038962,37706008
1411668854,35391003
94840396,193005665
1450256609,244179662
39949177,51697813
12831473,221841602
1949364086,208417758
11512179,138590342
116191161,148830796
145226040,145015296
48846049,108442084
40454145,106409833
104324429,155184901
2486364,40700757
1420111315,41093275
13536361,52930263
50376502,43193019
10739329,33450665
8407239,33335776
152120625,43674476
3585824,37107474
3790318,208476742
2355669,40916087
9942880,45088525
20787984,7642851
31814634,18750936
145788331,11776200
5565260,29525208
2093381679,32242144
50664404,9255575
3876119,21958345
2119304040,226568673
15646108,201659195
3964032,36951962
72213947,203140153
40197676,110258390
148231120,195567322
46287317,204674650
51067702,204815132
1478444208,209984128
2633493,22767060
40774169,4202272
91361675,216842836
153486508,218758929
4776370,174808944
65732228,231909418
143867938,202558150
12856239,169295072
2057917583,157009073
73066030,152212622
145133879,150572129
117744609,149551550
2116703069,195668045
1736493,88489516
2091677192,58157243
51064266,51622103
35215848,39901868
144858378,45874898
37474083,45959989
49262280,45418390
2150693145,34798035
144262535,26213783
4485912,27998798
2154852,24366958
144412108,31144441
2426146,28833436
1413695406,27416599
49137267,21968290
18803236,15202326
2305633,31870621
1414111031,31965925
2931274,10279247
2859571,9268565
2112345081,8909945
1706942,7793073
1937632,7814353
4511014,7686737
32495684,246751947
3154180,2206322
2109416438,106387342
1737073455,121369907
1802616,9136093
14721371,10855959
2070396186,26663736
16841300,34668598
47806122,25267949
2277255,238237900
81653606,26455021
16773820,41067012
14435668,35182700
14574244,28884693
144482217,56595797
143654333,128616345
86969527,33648833
16726881,12985345
34672279,37762556
16797484,9775560
144106424,40223750
7566281,3870352
,190876026
4930660,34352739
2892078,32393490
2110369262,231653918
33583152,28288333
16721756,7177140
2107540096,5124913
52609981,34285548
34948699,23374425
2054473409,232775139
89020523,158118888
2137231750,245518847
50480424,140560471
4666226,146084461
2122804645,126074967
103340285,119451691
152277314,133940359
46923732,24215794
