id,volume,year,fake,editor
dfdde60d-e443-430c-bb53-79e8211963cf-61 13,61 13,1954,0,1671769419
2ffaf997-f719-4744-8142-983c334b1797-125 3,125 3,2004,0,6748076
98948668-0c44-4dc4-8ff2-5b6ba84c3fb7-58 1,58 1,1983,0,2054946750
0e68f952-7316-4b0e-9470-7e833d0eafa6-48 4,48 4,2000,0,144823223
baca7f5a-2d4f-4158-b527-ab08fb52845f-11,11,1999,0,12420674
73ea77b0-3d9c-4b35-b2b0-a1e0af5b5b75-25 4,25 4,1997,0,1899653109
396750b3-c753-4765-b283-ca20a4ddd616-nan,,2020,0,66693211
6ee4e999-fe72-422e-9d62-708ce1471470-12 3,12 3,1957,0,1400342745
be767b53-ec92-42d8-9b36-cebc40671619-30,30,2020,0,3634462
e46002a1-d7a6-4681-aae9-36bc3a6a1f93-nan,,2021,0,4981464
45723ce3-7b17-4d2b-92c0-c9f30be1a6a1-87,87,2016,0,152619498
8c0f0951-6d54-4605-beb5-88e7849cc2a6-4 2,4 2,2018,0,47106609
7a4cdb93-dcf1-435f-ade6-dbd70a634d29-148 37,148 37,2004,0,771454865
73c0d858-63b7-43b5-8109-f027a509e8b6-176,176,2018,0,89089175
6499d076-6328-4c2c-8f87-d75c624eb530-nan,,2022,0,34809145
4b1fd7f5-3b44-452b-b185-dcd785a81edf-175,175,2019,0,101320987
9f15b6a9-a062-41be-a397-bcce86eabb41-26,26,2020,0,3722218
3dc20922-3913-4122-925d-6b044c08c12f-nan,,2020,0,50858006
92e5a24d-eeb8-42a4-a290-a40667894cf5-60,60,2020,0,1857874863
15049b43-0af1-46bb-8a0b-83e5510cefa0-nan,,2021,0,125694853
a3454210-a0d5-451a-8456-ef58557c4632-29,29,2017,0,1492194278
9b2de120-0345-4845-b4f5-cce0bf4338b0-nan,,2020,0,82325112
2c469df0-fa01-4dee-8f25-0d87a6fc4ef1-8,8,2008,0,4330831
3c4394f2-588b-43c0-bcf9-a0ef028e11e2-59,59,1922,0,2152504700
d0c10ac8-46d9-4816-a350-37ef883b23e8-nan,,2020,0,145955349
2c1f0cb4-af94-4b6d-ab03-1fc4e0d4169f-nan,,2019,0,2110126808
4a3b85d1-a9bd-4dde-a336-a6cae78b0482-44,44,2015,0,6607889
2633f5b2-c15c-49fe-80f5-07523e770c26-7,7,2019,0,601539087
d741ad2b-c57e-4b4a-a8b7-1aaeb70d96b4-10,10,2016,0,93483834
28148b64-bce5-4f88-a9a6-664735732a0f-66,66,2021,0,2859790
52594fde-c7e9-4b76-9bb6-f268cfacae53-nan,,2019,0,2074761259
8df9044b-0351-4d94-8c19-57f8446fe6a1-nan,,2019,0,176222110
d2086b1e-a8ee-4f69-81d4-8b7c43b3861b-51,51,2013,0,376361668
b4e58d87-c012-4bee-8e4c-fea04b5094f0-113 5,113 5,2020,0,5176528
459ca45a-35b5-468b-8287-daffcd7d5acc-89 12,89 12,2018,0,1995344447
8a4c6407-d5df-4cba-98fa-53d475ad8faa-13 17,13 17,1997,0,15305576
a30b60d8-8a5b-42a4-b504-5fca84f64f73-15,15,2018,0,2027497529
07ffccdd-217b-4082-9708-128ec80a1338-90 9,90 9,1998,0,1431377038
47464297-4c88-44d5-9112-53a865e99be5-11 9,11 9,1972,0,2046803840
51e83cad-0055-4038-8da5-cb49da2a016a-83,83,2005,0,1758748
